2026-01-25 19:12:24 | user=178 | DELETE_POST | SUCCESS | postId=99
2026-01-25 19:12:47 | user=178 | DELETE_COMMENT | SUCCESS | commentId=132
2026-01-25 19:18:04 | user=175 | LOGOUT | SUCCESS | session invalidated
2026-01-25 19:18:22 | user=176 | Google login | success |  from  ip= 0:0:0:0:0:0:0:1
2026-01-25 19:18:28 | user=176 | LOGOUT | SUCCESS | session invalidated
2026-01-25 19:22:28 | user=176 | Google login | success |  from  ip= 0:0:0:0:0:0:0:1
2026-01-25 19:22:33 | user=176 | LOGOUT | SUCCESS | session invalidated
2026-01-25 19:23:25 | user=176 | Google login | success |  from  ip= 0:0:0:0:0:0:0:1
2026-01-25 19:26:47 | user=176 | LOGOUT | SUCCESS | session invalidated
2026-01-25 19:27:07 | user=179 | Signup | SUCCESS | new user from   ip=0:0:0:0:0:0:0:1
2026-01-25 19:27:10 | user=179 | LOGIN | SUCCESS | ip=0:0:0:0:0:0:0:1
2026-01-25 19:27:19 | user=179 | CREATE_POST | SUCCESS | postId=100
2026-01-25 19:29:37 | user=179 | DELETE_POST | SUCCESS | postId=100
2026-01-25 19:30:13 | user=179 | LOGOUT | SUCCESS | session invalidated
2026-01-25 19:30:15 | user=179 | LOGIN | SUCCESS | ip=0:0:0:0:0:0:0:1
2026-01-25 19:32:16 | user=179 | comment creation  | SUCCESS | commentId=133
2026-01-25 19:32:20 | user=179 | EDIT_COMMENT | SUCCESS | commentId=133
2026-01-25 19:32:23 | user=179 | DELETE_COMMENT | SUCCESS | commentId=133
2026-01-25 19:53:37 | user=178 | LOGOUT | SUCCESS | session invalidated
2026-01-26 07:16:53 | user=unknown | LOGIN | FAIL | Login error
2026-01-26 07:16:54 | user=179 | LOGIN | SUCCESS | ip=0:0:0:0:0:0:0:1
2026-01-26 07:17:04 | user=179 | comment creation  | SUCCESS | commentId=134
2026-01-26 08:16:19 | user=unknown | LOGIN | FAIL | Login error
2026-01-26 08:16:20 | user=179 | LOGIN | SUCCESS | ip=0:0:0:0:0:0:0:1
2026-01-26 08:16:50 | user=unknown | LOGIN | FAIL | Login error
2026-01-26 08:16:51 | user=179 | LOGIN | SUCCESS | ip=0:0:0:0:0:0:0:1
2026-01-26 08:20:52 | user=unknown | LOGIN | FAIL | Login error
2026-01-26 08:20:54 | user=179 | LOGIN | SUCCESS | ip=0:0:0:0:0:0:0:1
2026-01-26 11:22:16 | user=unknown | LOGIN | FAIL | Login error
2026-01-26 11:22:20 | user=179 | LOGIN | SUCCESS | ip=0:0:0:0:0:0:0:1
2026-01-26 11:36:42 | user=179 | LOGOUT | SUCCESS | session invalidated
2026-01-26 11:41:36 | user=unknown | LOGIN | FAIL | Login error
2026-01-26 11:41:38 | user=179 | LOGIN | SUCCESS | ip=0:0:0:0:0:0:0:1
2026-01-26 11:45:01 | user=unknown | LOGIN | FAIL | Login error
2026-01-26 11:45:02 | user=179 | LOGIN | SUCCESS | ip=0:0:0:0:0:0:0:1
2026-01-26 11:45:49 | user=unknown | LOGIN | FAIL | Login error
2026-01-26 11:47:58 | user=unknown | LOGIN | FAIL | Login error
